Max Distance From Depot
69
Id	X_Coor	Y_Coor	tw_start	tw_end	Arr
0		35		35		0		0		-1		
72		47		16		9		69		9		
61		12		24		11		71		11		
96		22		27		12		72		12		
95		25		24		22		82		22		
79		57		48		24		84		24		
18		20		40		29		89		29		
72		47		16		35		95		35		
21		45		20		43		103		43		
13		30		25		46		106		46		
60		17		34		46		106		46		
17		5		30		53		113		53		
85		16		22		59		119		59		
69		37		47		60		120		60		
84		11		31		64		124		64		
86		4		18		68		128		68		
59		21		24		72		132		72		
19		15		60		73		133		73		
35		63		65		80		140		80		
100		18		18		81		141		81		
97		25		21		83		143		83		
59		21		24		91		151		91		
58		36		26		93		153		93		
98		19		21		100		160		100		
92		22		22		103		163		103		
94		26		27		105		165		105		
73		44		17		110		170		110		
87		28		18		110		170		110		
98		19		21		113		173		113		
4		55		20		121		181		121		
87		28		18		125		185		125		
22		45		10		126		186		126		
39		60		12		135		195		135		
15		30		5		142		202		142		
53		37		31		146		206		146		
42		24		12		154		214		154		
72		47		16		156		216		156		
71		57		68		158		218		158		
45		6		38		161		221		161		
81		55		54		167		227		167		
33		53		52		169		229		169		
4		55		20		171		231		171		
86		4		18		176		236		176		
35		63		65		178		238		178		
68		56		39		185		245		185		
94		26		27		192		252		192		
54		57		29		198		258		198		
6		25		30		203		263		203		
21		45		20		219		279		219		
20		45		65		220		280		220		
23		55		5		224		284		224		
14		15		10		225		285		225		
55		63		23		240		300		240		
3		55		45		244		304		244		
73		44		17		244		304		244		
72		47		16		250		310		250		
58		36		26		255		315		255		
26		45		30		262		322		262		
28		41		37		269		329		269		
63		27		69		269		329		269		
38		5		5		277		337		277		
52		27		43		280		340		280		
92		22		22		282		342		282		
9		55		60		286		346		286		
3		55		45		291		351		291		
28		41		37		292		352		292		
5		15		30		302		362		302		
58		36		26		305		365		305		
47		8		56		311		371		311		
58		36		26		321		381		321		
38		5		5		325		385		325		
62		24		58		326		386		326		
73		44		17		334		394		334		
46		2		48		336		396		336		
90		31		67		336		396		336		
89		26		35		340		400		340		
28		41		37		347		407		347		
63		27		69		355		415		355		
22		45		10		359		419		359		
65		62		77		369		429		369		
17		5		30		370		430		370		
96		22		27		373		433		373		
33		53		52		376		436		376		
5		15		30		382		442		382		
5		15		30		384		444		384		
19		15		60		384		444		384		
45		6		38		385		445		385		
39		60		12		388		448		388		
31		31		52		394		454		394		
79		57		48		398		458		398		
42		24		12		403		463		403		
90		31		67		403		463		403		
71		57		68		405		465		405		
50		47		47		409		469		409		
22		45		10		410		470		410		
45		6		38		410		470		410		
26		45		30		411		471		411		
75		49		11		434		494		434		
8		10		43		440		500		440		
50		47		47		444		504		444		
72		47		16		444		504		444		
6		25		30		461		521		461		
65		62		77		472		532		472		
