Max Distance From Depot
80
Id	X_Coor	Y_Coor	tw_start	tw_end	Arr
0		40		50		0		0		-1		
57		30		25		1		61		1		
70		35		69		4		64		4		
65		35		40		11		71		11		
29		90		35		12		72		12		
45		20		82		23		83		23		
47		2		45		34		94		34		
75		5		5		36		96		36		
90		37		47		37		97		37		
24		38		15		42		102		42		
74		20		20		45		105		45		
62		65		35		53		113		53		
64		45		30		54		114		54		
94		57		48		55		115		55		
39		60		80		67		127		67		
54		55		60		69		129		69		
19		42		10		70		130		70		
56		50		35		70		130		70		
68		40		60		71		131		71		
76		60		12		75		135		75		
91		49		42		94		154		94		
58		15		10		98		158		98		
50		72		35		101		161		101		
100		31		67		103		163		103		
66		41		37		112		172		112		
3		22		85		113		173		113		
32		87		30		120		180		120		
12		8		45		121		181		121		
78		8		56		127		187		127		
92		53		43		128		188		128		
47		2		45		132		192		132		
39		60		80		134		194		134		
17		0		45		138		198		138		
38		62		80		165		225		165		
79		6		68		168		228		168		
83		37		31		171		231		171		
88		24		58		175		235		175		
65		35		40		178		238		178		
79		6		68		183		243		183		
42		55		80		192		252		192		
30		88		30		194		254		194		
73		2		60		196		256		196		
84		57		29		198		258		198		
43		55		85		205		265		205		
8		15		80		209		269		209		
43		55		85		209		269		209		
44		55		82		213		273		213		
16		0		40		214		274		214		
52		25		30		227		287		227		
52		25		30		228		288		228		
97		4		18		229		289		229		
53		20		50		246		306		246		
97		4		18		250		310		250		
43		55		85		262		322		262		
81		49		58		262		322		262		
26		95		30		271		331		271		
49		42		12		284		344		284		
78		8		56		289		349		289		
80		47		47		291		351		291		
52		25		30		294		354		294		
43		55		85		298		358		298		
18		44		5		300		360		300		
96		55		54		308		368		308		
90		37		47		313		373		313		
90		37		47		320		380		320		
35		67		85		328		388		328		
86		21		24		328		388		328		
68		40		60		330		390		330		
78		8		56		330		390		330		
42		55		80		332		392		332		
24		38		15		335		395		335		
44		55		82		335		395		335		
64		45		30		338		398		338		
52		25		30		339		399		339		
97		4		18		344		404		344		
85		63		23		352		412		352		
80		47		47		359		419		359		
64		45		30		360		420		360		
20		42		15		367		427		367		
24		38		15		373		433		373		
27		95		35		381		441		381		
58		15		10		386		446		386		
38		62		80		387		447		387		
52		25		30		400		460		400		
74		20		20		408		468		408		
83		37		31		409		469		409		
96		55		54		418		478		418		
9		10		35		419		479		419		
21		40		5		420		480		420		
28		92		30		421		481		421		
89		67		5		423		483		423		
10		10		40		425		485		425		
72		63		65		426		486		426		
21		40		5		432		492		432		
93		61		52		436		496		436		
19		42		10		439		499		439		
85		63		23		453		513		453		
52		25		30		459		519		459		
4		20		80		463		523		463		
98		26		52		465		525		465		
46		18		80		477		537		477		
