Req,X_Coor,Y_Coor,Arr
0,70,70,-1
1,38,179,0
2,73,59,2
3,44,31,12
4,44,31,15
5,144,156,18
6,113,77,22
7,44,31,23
8,38,179,32
9,194,45,38
10,144,156,40
11,44,31,48
12,113,77,55
13,44,31,57
14,122,153,57
15,49,160,58
16,73,59,67
17,44,31,67
18,144,156,68
19,122,117,73
20,38,179,86
21,44,31,87
22,73,59,89
23,113,77,91
24,38,179,98
25,29,37,100
26,38,179,111
27,38,179,116
28,144,156,117
29,122,153,121
30,113,77,123
31,73,59,124
32,122,153,126
33,122,117,132
34,44,31,134
35,194,45,138
36,144,156,146
37,49,160,150
38,194,45,151
39,122,117,152
40,49,160,153
41,194,45,156
42,38,179,170
43,29,37,174
44,122,153,180
45,44,31,187
46,44,31,188
47,49,160,189
48,122,153,193
49,144,156,202
50,194,45,205
51,122,117,205
52,38,179,208
53,194,45,210
54,38,179,211
55,44,31,214
56,122,153,214
57,49,160,217
58,29,37,217
59,144,156,222
60,113,77,228
61,122,153,230
62,122,153,234
63,122,117,241
64,144,156,242
65,194,45,243
66,73,59,251
67,73,59,253
68,122,117,263
69,73,59,267
70,49,160,272
71,122,153,273
72,29,37,275
73,113,77,281
74,44,31,281
75,122,117,310
76,113,77,311
77,49,160,311
78,144,156,311
79,122,153,332
80,73,59,336
81,194,45,341
82,122,117,347
83,38,179,353
84,38,179,355
85,122,153,360
86,122,117,361
87,144,156,367
88,144,156,369
89,73,59,373
90,73,59,377
91,73,59,381
92,44,31,386
93,44,31,394
94,113,77,396
95,49,160,402
96,144,156,404
97,194,45,416
98,73,59,418
99,122,153,427
100,144,156,427
101,49,160,428
102,113,77,435
103,38,179,435
104,144,156,435
105,194,45,442
106,44,31,442
107,144,156,446
108,73,59,448
109,44,31,451
110,49,160,464
111,122,153,466
112,44,31,470
113,194,45,475
114,38,179,477
